Date,AAPL,AMZN,GOOG,MSFT
2018-04-16,41.84535217285156,72.07499694824219,51.89899826049805,88.681396484375
2018-04-17,42.42131042480469,75.19149780273438,53.70800018310547,90.47065734863281
2018-04-18,42.326107025146484,76.39199829101562,53.604000091552734,90.81909942626953
2018-04-19,41.1265869140625,77.84549713134766,54.3849983215332,90.5083236694336
2018-04-20,39.44154357910156,76.37449645996094,53.64799880981445,89.4630126953125
2018-04-23,39.32729721069336,75.89299774169922,53.372501373291016,89.79263305664062
2018-04-24,38.77989196777344,73.00450134277344,50.999000549316406,87.69259643554688
2018-04-25,38.94887924194336,73.00849914550781,51.058998107910156,86.92980194091797
2018-04-26,39.084529876708984,75.89800262451172,52.00199890136719,88.76614379882812
2018-04-27,38.6323356628418,78.63099670410156,51.502498626708984,90.2352294921875
2018-04-30,39.332061767578125,78.30650329589844,50.86650085449219,88.06926727294922
2018-05-01,40.24598693847656,79.11299896240234,51.865501403808594,89.4630126953125
2018-05-02,42.02385711669922,78.48400115966797,51.21900177001953,88.05986785888672
2018-05-03,42.100013732910156,78.60399627685547,51.18600082397461,88.58721160888672
2018-05-04,43.75174331665039,79.04750061035156,52.410499572753906,89.61370849609375
2018-05-07,44.06828689575195,80.00700378417969,52.739498138427734,90.61192321777344
2018-05-08,44.28010177612305,79.61949920654297,52.695499420166016,90.22579956054688
2018-05-09,44.59188461303711,80.4000015258789,54.13800048828125,91.28995513916016
2018-05-10,45.22972106933594,80.4540023803711,54.878501892089844,92.20340728759766
2018-05-11,45.05770492553711,80.14550018310547,54.91299819946289,92.00566101074219
2018-05-14,44.95257568359375,80.0770034790039,55.0099983215332,92.31641387939453
2018-05-15,44.54402542114258,78.80599975585938,53.96149826049805,91.64781951904297
2018-05-16,44.95974349975586,79.36399841308594,54.0885009765625,91.88423919677734
2018-05-17,44.67542266845703,79.08799743652344,53.929500579833984,90.96683502197266
2018-05-18,44.512969970703125,78.71849822998047,53.31800079345703,91.13707733154297
2018-05-21,44.828330993652344,79.27300262451172,53.979000091552734,92.30986785888672
2018-05-22,44.71604919433594,79.06999969482422,53.48649978637695,92.21526336669922
2018-05-23,45.002750396728516,80.09300231933594,53.984500885009766,93.31241607666016
2018-05-24,44.95257568359375,80.15350341796875,53.96200180053711,92.98136901855469
2018-05-25,45.0553092956543,80.50749969482422,53.78300094604492,93.02867126464844
2018-05-29,44.89284896850586,80.64350128173828,53.01599884033203,92.6976318359375
2018-05-30,44.797279357910156,81.24449920654297,53.38999938964844,93.58666229248047
2018-05-31,44.646759033203125,81.48100280761719,54.2495002746582,93.48265075683594
2018-06-01,45.45191955566406,82.0770034790039,55.974998474121094,95.32697296142578
2018-06-04,45.831790924072266,83.26349639892578,56.964500427246094,96.15925598144531
2018-06-05,46.18539810180664,84.81749725341797,56.983001708984375,96.65106964111328
2018-06-06,46.345481872558594,84.7874984741211,56.84400177001953,96.934814453125
2018-06-07,46.221229553222656,84.46499633789062,56.19300079345703,95.4120864868164
2018-06-08,45.80073547363281,84.19950103759766,56.04349899291992,96.12142944335938
2018-06-11,45.688438415527344,84.45600128173828,56.4995002746582,95.57286834716797
2018-06-12,45.93931579589844,84.9375,56.965999603271484,95.81877136230469
2018-06-13,45.56181716918945,85.24299621582031,56.739498138427734,95.38371276855469
2018-06-14,45.58571243286133,86.19300079345703,57.60599899291992,95.92281341552734
2018-06-15,45.117431640625,85.79850006103516,57.612998962402344,94.70272064208984
2018-06-18,45.093536376953125,86.18949890136719,58.67300033569336,95.39314270019531
2018-06-19,44.364837646484375,86.73899841308594,58.40299987792969,95.39314270019531
